id,toponym,ski_slope,psi_intervall,geol_class,soil_class,humus_type,vegetation_class,pasture,ground_cover,slope,geomorphon,soil_depth,skeleton,embedded_rock_type,soiltexture,bulk_density,total_pore_volume_10,coarse_pore_volume_10,pre_moisture,moisture_intervall,saturation_deficit,saturation_deficit_intervall
208_2_1,dauerberegnung_1,no,0.64,"Glacial sediment, possibly solidified",planosol-stagnosol,mull,grassland,medium,100,23.37,escarpment,tiefgründig,12.5,EGE,lU,0.89,65.13,7.36,46.65,46.5,0.190876766975978,0.193478449397277
212_1_1,golm,yes,1.14,Anthropogenic debris,albic-podzol_entic-podzol,mull,shrubs,medium,100,19.69,mid-slope,mittelgründig,10.5,EGE,lS,0.74,73.76,9,37.72,41,0.467118739846013,0.420781238963057
213_1_1,golm,yes,0.61,Glacial sediment,disturbed_soil,mull,grassland,medium,90,15.06,mid-slope,mittelgründig,22.5,LOC,S,1.18,54.74,15.55,27.3,48.25,0.501278772378517,0.118560467665327
214_1_1,golm,yes,0.38,Glacial sediment,disturbed_soil,moder,grassland,low,100,20.34,mid-slope,mittelgründig,22.5,EHO,lS,1.09,59.45,24.29,12.1,35.05,0.774862777932831,0.543670264965653
215_1_1,golm,no,0.03,Glacial sediment,albic-podzol_entic-podzol,moder,shrubs,no,100,32.02,escarpment,tiefgründig,15,LOC,lS,0.58,74.38,28.85,18.8,42.4,0.761633067072398,0.462406491695195
216_1_1,golm,no,0.52,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,50,30.63,mid-slope,mittelgründig,14,LOC,lS,0.74,67.9,8.74,32.26,54.07,0.483012820512821,0.13349358974359
218_1_1,sanktanton,yes,0,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,low,70,22.88,mid-slope,mittelgründig,58.64,EHO,lS,1.04,60.05,15.05,27.52,52.58,0.523050259965338,0.106481481481481
219_1_1,sanktanton,yes,0.36,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,low,70,21.6,mid-slope,flachgründig,54.23,EHO,lS,1.18,54.9,11.24,31.42,52.58,0.427686703096539,0.0422586520947177
220_1_1,sanktanton,yes,0.06,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,low,70,19.35,mid-slope,flachgründig,52.7,EHO,lS,1.11,57.97,15.06,35.7,53.3,0.3841642228739,0
221_1_1,sanktanton,yes,0,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,low,70,24.16,mid-slope,mittelgründig,44.23,EHO,lS,1.03,61.2,27.69,18.75,39.65,0.833863556026865,0.469408011343495
222_1_1,sanktanton,yes,0,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem_cambic-umbrisol,mull,grassland,low,100,26.93,escarpment,mittelgründig,30.22,EHO,lS,0.47,77.97,10.34,49.4,67.55,0.346560846560847,0.106481481481481
223_1_1,sanktanton,yes,0.07,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,low,70,18.65,mid-slope,mittelgründig,55.71,EHO,lS,1.1,58.41,19.89,37.5,52,0.357986646122239,0.109741482622838
231_1_1,ehrwald,yes,0,Talus/Scree,disturbed_soil,none,grassland,low,95,16.88,mid-slope,flachgründig,50,LOC,uS,0.76,77.97,24.92,24.1,49.45,0.670356906807667,0.420781238963057
232_1_1,ehrwald,yes,0,Talus/Scree,disturbed_soil,none,grassland,low,95,16.3,plateau,flachgründig,50,LOC,uS,0.81,73.76,9.9,33.25,56.05,0.549905723496138,0.0334728033472804
259_1_1,camaro_d,no,0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,medium,99,36.33,mid-slope,mittelgründig,85.32258065,EHO,uS,0.49,84.03603004,24.29301502,9.4,35.05,0.871746863883168,0.462899931926481
260_1_1,camaro_d,no,0,Talus/Scree,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,low,99,32.6,escarpment,mittelgründig,85.32258065,EHO,uS,0.56,84.03603004,24.29301502,24.1,57,0.669288214439515,0.217818598466903
267_1_1,bloessen,no,0.38,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,shrubs,no,80,10.57,plateau,mittelgründig,50.88,EHO,uS,0.69,89.22,14.28,16.9,48.05,0.788419405320814,0.398435054773083
268_1_1,bloessen,no,0.01,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,20,11.22,plateau,mittelgründig,45.56,LOC,uS,0.33,96.07,49.03,8.53,29.3,0.883929786365492,0.601306300176895
269_1_1,bloessen,no,0.03,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,moder,forest,no,90,16.63,plateau,mittelgründig,29.1,EHO,uS,0.56,79.63,22.97,24.6,49.45,0.653569919729615,0.303619208562174
27_1_1,ischgl,yes,0.68,Talus/Scree,disturbed_soil,none,grassland,no,70,23.69,plateau,mittelgründig,28.95,EHO,S,1.23,53.43,15.43,26.1,36.15,0.511510387422796,0.323413812464907
270_1_1,bloessen,no,0,Glacial sediment,cambisol_cambic-phaeozem_cambic-umbrisol,mull,shrubs,no,100,15.48,plateau,mittelgründig,45.17,EHO,S,0.73,77.21,24.92,21.6,58.1,0.659225368778102,0.0833793484262838
271_1_1,bloessen,no,0,Glacial sediment,albic-podzol_entic-podzol,mor,shrubs,no,100,28.85,escarpment,mittelgründig,10,EHO,S,0.8,67.54,22.82,11.18,37.42,0.84147465437788,0.469408011343495
272_1_1,bloessen,yes,0.67,Glacial sediment,disturbed_soil,none,grassland,intensive,100,16.01,mid-slope,mittelgründig,40.55,EHO,S,1.18,47.33,13.16,37,47.35,0.467118739846013,0.217818598466903
73_1_1,dobratsch,no,0.63,Glacial sediment,cambisol_cambic-phaeozem,none,grassland,intensive,95,17.8,mid-slope,mittelgründig,28.5,EGE,uL,0.89,63.25,6.2,47.4,57.5,0.250592885375494,0.0909090909090909
74_1_1,dobratsch,no,0,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,mull,forest,no,100,13.49,mid-slope,mittelgründig,50.88,LOC,lU,0.89,67.74,6.2,31.8,46.2,0.530558015943313,0.317980513728964
75_1_1,dobratsch,no,0.69,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,100,10.58,escarpment,mittelgründig,30,EGE,uL,0.76,66.36,0,56.48,61.65,0.10703557312253,0.0252964426877471
75_1_2,dobratsch,no,0.66,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,100,10.58,escarpment,mittelgründig,30,EGE,uL,0.76,66.36,0,58.6,62.55,0.0735177865612648,0.0110671936758894
76_1_1,dobratsch,yes,0,Cover layer on carbonate bedrock,disturbed_soil,none,grassland,intensive,90,17.39,mid-slope,sehr flachgründig,60,LOC,uL,0.7,69.79,6.59,18.52,38.5,0.723313662508404,0.42481511914544
77_1_1,dobratsch,no,0.03,Cover layer on carbonate bedrock,regosol_phaeozem_umbrisol_folic-histosol,none,shrubs,medium,80,13.03,mid-slope,sehr flachgründig,60,LOC,uL,0.6,75.31,11.96,51.67,66.35,0.289173201265649,0.0872197000962994
78_1_1,dobratsch,no,0.85,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,90,28.83,escarpment,mittelgründig,30,EGE,uL,0.82,66.64,0,52.32,63.85,0.191282170183167,0.139130434782609
78_1_2,dobratsch,no,0.81,Cover layer on carbonate bedrock,cambisol_cambic-phaeozem,none,grassland,intensive,90,28.83,escarpment,mittelgründig,30,EGE,uL,0.82,66.64,0,54.1,63.2,0.163768451966922,0.023108431872633
